,epoch,iteration,mode,accuracy,kappa,loss,mean_accuracy,mean_f1,mean_precision,mean_recall
0,1,,train,0.6045163165705368,0.520769734373938,1.1039872,0.4036922817928621,0.4064841965892188,0.4503409463661599,0.4036922817928621
1,2,,train,0.6784222616115277,0.6133771169373236,0.87088495,0.5081478454917084,0.5155372141649655,0.5571331890910839,0.5081478454917084
2,3,,train,0.69259366920123,0.6312304979938829,0.82595146,0.5366672313420442,0.5461955135009297,0.6282144242723336,0.5366672313420442
3,4,,train,0.7003131959758797,0.6408760608306702,0.8020266,0.5527943753950401,0.5629369837978868,0.6486714608475812,0.5527943753950401
4,5,,train,0.7062929879508066,0.6483510348892342,0.78425467,0.5649902818903239,0.5759612936134709,0.6634829933003654,0.5649902818903239
5,5,,test,0.6716974840620211,0.6063868668206631,0.8859953,0.5403471101810244,0.5507589962237428,0.6656066744594908,0.5403471101810244
6,6,,train,0.7113723141751231,0.6545939749051691,0.7704274,0.5738844211924345,0.5858024727320111,0.6690041369652024,0.5738844211924345
7,7,,train,0.7150921993875958,0.6591971119397881,0.75881094,0.5819705616448446,0.5950677133329224,0.6779006030504242,0.5819705616448446
8,8,,train,0.7181367352871109,0.6629342157582211,0.74927324,0.5869399862424466,0.6009654864115127,0.6800216529426039,0.5869399862424466
9,9,,train,0.7208119053811571,0.6662261451964598,0.7404522,0.5929285479995896,0.6074891770632661,0.6876661974550721,0.5929285479995896
10,10,,train,0.723644438421912,0.6697116208545076,0.7325152,0.5976255206280182,0.6127935792655914,0.691937411604538,0.5976255206280182
11,10,,test,0.6829711727017951,0.6206973429421166,0.86156815,0.5654565652601338,0.5752202707527515,0.6723304779107516,0.5654565652601338
12,11,,train,0.725733868658765,0.6722805838966512,0.7254028,0.6013982306887308,0.6170235687508495,0.6935997564123719,0.6013982306887308
13,12,,train,0.7280746424910555,0.6751411193796205,0.7194226,0.6072080194051507,0.6236847398622856,0.6999725784383167,0.6072080194051507
14,13,,train,0.7302318262188525,0.6777913885155529,0.71238077,0.6111637522943432,0.627997855309125,0.7019624102163724,0.6111637522943432
15,14,,train,0.7309115467247744,0.678685319737567,0.70734596,0.6140210736618902,0.6311118055957337,0.7061562062450987,0.6140210736618902
16,15,,train,0.7334599522228609,0.6817937438409435,0.70201266,0.6180811048479845,0.6352763823899893,0.7065733157311105,0.6180811048479845
17,15,,test,0.6844319886945545,0.6227358137258627,0.8560938,0.572369353950434,0.583286479814274,0.6488235119207473,0.572369353950434
18,16,,train,0.7352630693205636,0.6839853943027906,0.69613576,0.6217390724527865,0.6395780876543911,0.7118922373083142,0.6217390724527865
19,17,,train,0.7364258066490216,0.6854443999757471,0.6909551,0.626000838339495,0.6440048401458469,0.7134080403683137,0.626000838339495
20,18,,train,0.738561134411998,0.6879969570610434,0.68620193,0.6280120255251878,0.6469473301396156,0.7185038303290088,0.6280120255251878
21,19,,train,0.7400888663529607,0.6898664080356717,0.68171626,0.6312922132237021,0.6499963276886764,0.7187434949380738,0.6312922132237021
22,20,,train,0.7403555091237725,0.6902119231208452,0.6773231,0.6329968849849481,0.6516702343326047,0.719523549133086,0.6329968849849481
23,20,,test,0.6864326714672467,0.6251210557644236,0.8570402,0.5786900372743599,0.5869247326256268,0.6421256671027369,0.5786900372743599
24,21,,train,0.7418045595913809,0.6919930849220655,0.67290306,0.6350115832394384,0.6544021654740527,0.7196943688144722,0.6350115832394384
25,22,,train,0.7437453692674536,0.6943233725758626,0.6689691,0.6396872940805249,0.6587469943732049,0.7262295399323263,0.6396872940805249
26,23,,train,0.7445868239130482,0.6953515612995671,0.6653001,0.6407954121659354,0.6602910310528726,0.7264766159710546,0.6407954121659354
27,24,,train,0.7459440793284099,0.6970130422157431,0.6618235,0.643838838632669,0.6633452848349359,0.7281537087285275,0.643838838632669
28,25,,train,0.7476685149527583,0.6990996520705967,0.65808773,0.6460427402682531,0.6661846777368864,0.7319037187786142,0.6460427402682531
29,25,,test,0.6852100319950459,0.6238314640249898,0.87168354,0.5785063714137662,0.5873213857314507,0.6352976575038659,0.5785063714137662
30,26,,train,0.7482542548099514,0.6998328441350906,0.65405756,0.6476691063924492,0.6677304007603545,0.7305304819762667,0.6476691063924492
31,27,,train,0.7491918757007568,0.7009605295208694,0.65116435,0.6499755222059762,0.6707836764213992,0.7352371438654123,0.6499755222059762
32,28,,train,0.7504289233096051,0.7024578942275364,0.6475151,0.6507888876773728,0.6714929411854205,0.7336416538966024,0.6507888876773728
33,29,,train,0.7511283141838655,0.7033361616341368,0.64430314,0.6536649464587664,0.6748236532917212,0.7363936986317492,0.6536649464587664
34,30,,train,0.7528877193519269,0.7054434905454775,0.64082944,0.6570487216191023,0.6779284911534538,0.7387492965556461,0.6570487216191023
35,30,,test,0.6847574966059846,0.6235278281725871,0.88597095,0.5797384666191576,0.5869710970745616,0.6321568481969279,0.5797384666191576
